Claim_ID,Food_ID,Receiver_ID,Status,Timestamp
1,175,32,Completed,2026-04-14 04:57:56
2,5,57,Completed,2026-03-09 10:32:56
3,53,53,Completed,2026-02-13 03:43:56
4,189,8,Completed,2026-01-18 19:08:56
5,84,62,Completed,2026-02-10 11:21:56
6,118,69,Cancelled,2026-03-06 06:19:56
7,185,34,Pending,2026-01-30 08:29:56
8,72,72,Cancelled,2026-03-11 16:22:56
9,181,27,Pending,2026-01-20 01:10:56
10,90,72,Completed,2026-03-14 14:34:56
11,140,49,Completed,2026-02-27 11:52:56
12,75,6,Pending,2026-03-13 01:36:56
13,114,33,Completed,2026-02-16 17:29:56
14,70,72,Pending,2026-01-19 15:33:56
15,190,76,Completed,2026-03-19 16:38:56
16,136,29,Pending,2026-01-27 16:38:56
17,85,61,Completed,2026-04-06 01:52:56
18,141,21,Completed,2026-02-25 02:42:56
19,122,62,Cancelled,2026-01-25 16:53:56
20,83,37,Cancelled,2026-01-26 21:43:56
21,167,74,Pending,2026-03-20 05:54:56
22,10,23,Pending,2026-02-24 17:42:56
23,102,64,Cancelled,2026-03-25 23:46:56
24,10,2,Cancelled,2026-03-11 05:03:56
25,86,37,Completed,2026-02-19 03:07:56
26,35,65,Completed,2026-02-18 15:29:56
27,85,21,Pending,2026-02-19 03:25:56
28,4,44,Pending,2026-03-12 04:58:56
29,45,79,Pending,2026-01-27 10:49:56
30,84,12,Completed,2026-02-26 02:35:56
31,36,62,Completed,2026-03-08 16:41:56
32,61,58,Completed,2026-03-15 13:22:56
33,147,2,Completed,2026-03-16 03:18:56
34,16,16,Pending,2026-02-18 14:31:56
35,129,40,Completed,2026-01-20 20:01:56
36,76,48,Cancelled,2026-01-30 16:27:56
37,123,20,Cancelled,2026-02-19 00:03:56
38,180,71,Completed,2026-02-17 05:50:56
39,56,32,Pending,2026-01-21 03:46:56
40,135,58,Pending,2026-02-10 01:18:56
41,145,15,Completed,2026-04-11 05:44:56
42,147,69,Completed,2026-03-30 18:21:56
43,114,15,Cancelled,2026-01-21 16:56:56
44,24,66,Completed,2026-02-20 22:12:56
45,107,59,Completed,2026-02-05 22:06:56
46,79,3,Completed,2026-02-27 14:49:56
47,56,75,Completed,2026-04-09 22:14:56
48,17,70,Completed,2026-04-11 20:42:56
49,74,53,Completed,2026-03-26 18:52:56
50,187,54,Pending,2026-03-02 11:13:56
51,97,49,Cancelled,2026-04-08 01:59:56
52,35,45,Cancelled,2026-04-03 18:07:56
53,33,29,Completed,2026-04-18 23:22:56
54,185,70,Completed,2026-02-23 06:17:56
55,64,59,Pending,2026-03-05 19:24:56
56,186,15,Completed,2026-04-14 02:15:56
57,5,31,Pending,2026-03-23 21:35:56
58,115,77,Completed,2026-01-22 00:46:56
59,190,6,Completed,2026-02-26 09:27:56
60,194,8,Completed,2026-04-01 07:23:56
61,188,74,Completed,2026-03-09 05:03:56
62,83,31,Pending,2026-03-11 18:59:56
63,106,39,Completed,2026-03-14 22:06:56
64,189,23,Cancelled,2026-01-28 02:14:56
